全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FCL001,海运费,Ocean Freight,OF,USD,应税,增值税专票,跨境运输费用,MBL,船公司,营业收入,提单/运单,集装箱海上运输基本运费，按柜型收取,应收,SEAN079,Basic ocean freight for container transportation charged by container type
FCL002,燃油附加费,Bunker Adjustment Factor,BAF,USD,应税,增值税专票,跨境运输费用,MBL,船公司,营业收入,燃油附加费通知,因燃油价格波动产生的附加费用,应收,"SEAN0923,SEA01001",Additional charge due to bunker fuel price fluctuations
FCL003,码头操作费(起运港),Origin Terminal Handling Charge,OTHC,CNY,应税,增值税专票,码头/港口/场站费用,内装,码头/场站,营业成本,码头费用清单,起运港码头装卸及相关操作费用,应付,"SEA01002,55119",Terminal handling charges at origin port for loading operations
FCL004,码头操作费(目的港),Destination Terminal Handling Charge,DTHC,USD,应税,增值税专票,码头/港口/场站费用,换单,码头/场站,营业收入,码头费用清单,目的港码头卸货及相关操作费用,应收,"SEAN074,55119",Terminal handling charges at destination port for discharge operations
FCL005,报关费,Customs Declaration Fee,CDF,CNY,应税,增值税专票,关检费用,报关,报关行,营业成本,报关委托书,出口报关代理服务费,应付,CS001001,Export customs declaration agency service fee
FCL006,拖车费,Trucking Fee,TKF,CNY,应税,增值税专票,境内运输费用,拖车,运输公司,营业成本,运输合同,货物从发货地到港口的陆路运输费,应付,"SEA01087,TR001012",Inland trucking from shipper to port
FCL007,仓储费,Warehouse Storage Fee,WSF,CNY,应税,增值税专票,仓储费用,仓储,仓储公司,营业成本,仓储单据,货物在仓库存储期间产生的费用,应付,"WMS01005,55129",Storage charges for goods in warehouse
FCL008,装箱费,Container Loading Fee,CLF,CNY,应税,增值税专票,装卸费用,内装,装卸公司,营业成本,装箱单据,货物装入集装箱的作业费用,应付,SEAN086,Fee for loading cargo into containers
FCL009,单证费,Documentation Fee,DOC,CNY,应税,增值税专票,单证文件费用,MBL,货代公司,营业收入,相关单证,制作和处理各类出口单证文件费用,应收,"OP009001,SEA01006",Fee for preparing and processing export documentation
FCL010,保险费,Marine Insurance Premium,INS,CNY,应税,增值税专票,保险费用,保险,保险公司,营业成本,保险单,货物运输保险费,应付,OPN066,Marine cargo insurance premium
FCL011,VGM费,Verified Gross Mass Fee,VGM,CNY,应税,增值税专票,单证文件费用,内装,码头/场站,营业成本,VGM证书,集装箱核实总重量申报费,应付,55914,Fee for container verified gross mass declaration
FCL012,舱单费,Manifest Fee,MNF,USD,应税,增值税专票,单证文件费用,舱单,船公司,营业成本,舱单文件,向海关申报舱单信息费用,应付,CS001012,Fee for manifest declaration to customs
FCL013,AMS费,Automated Manifest System Fee,AMS,USD,应税,增值税专票,单证文件费用,舱单,船公司,营业成本,AMS申报单,美国自动舱单系统申报费,应付,SEA01109,Fee for US Automated Manifest System filing
FCL014,换单费,Bill of Lading Release Fee,D/O,USD,应税,增值税专票,单证文件费用,换单,船代,营业收入,换单凭证,目的港换取提货单费用,应收,OP001002,Fee for exchanging B/L for delivery order at destination
FCL015,电放费,Telex Release Fee,TLX,USD,应税,增值税专票,单证文件费用,MBL,船公司,营业收入,电放通知,提单电放服务费,应收,SEA01005,Fee for telex release of bill of lading
FCL016,订舱费,Booking Fee,BKG,CNY,应税,增值税专票,跨境运输费用,订舱,船公司,营业成本,订舱确认书,向船公司申请舱位费用,应付,SEAN090,Fee for booking container space with shipping line
