全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0001,燃油附加,,FSC,CNY,应税,专票/普票,跨境运输费用,,船公司,,,燃油附加费的简称，由承运人收取以反映燃油价格变动的附加费用。,应付,,"Abbreviated form of fuel surcharge, collected by carriers to reflect fuel price fluctuations."
FC0002,紧急燃油附加费,,EBA,CNY,应税,专票/普票,跨境运输费用,,船公司,,,紧急燃油附加费，因燃油价格波动而收取的附加费用，通常由船公司根据燃油市场价格变化进行调整，以弥补燃油成本上涨带来的损失。在海运整柜出口中，这是最常见的附加费之一。,应付,SEA01010,"紧急燃油附加费, Fuel surcharge imposed due to fuel price fluctuations, typically adjusted by shipping lines based on fuel market price changes to offset losses from rising fuel costs."
FC0003,ONE燃油附加费,,OBS,CNY,应税,专票/普票,跨境运输费用,,船公司,,,ONE燃油附加费，因燃油价格波动而收取的附加费用，通常由船公司根据燃油市场价格变化进行调整，以弥补燃油成本上涨带来的损失。在海运整柜出口中，这是最常见的附加费之一。,应付,,"ONE燃油附加费, Fuel surcharge imposed due to fuel price fluctuations, typically adjusted by shipping lines based on fuel market price changes to offset losses from rising fuel costs."
FC0004,海运燃油附加,,MFR,CNY,应税,专票/普票,跨境运输费用,,船公司,,,海运燃油附加，燃油附加费的简称，由承运人收取以反映燃油价格变动的附加费用。,应付,,"海运燃油附加, Abbreviated form of fuel surcharge, collected by carriers to reflect fuel price fluctuations."
FC0005,燃油价格调整附加,,FAF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,燃油价格调整附加，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"燃油价格调整附加, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0006,加油调节因素,,BAF,CNY,应税,专票/普票,跨境运输费用,,船公司,,,BAF(Bunker Adjustment Factor)燃油调节因素，根据燃油价格变化调整的费用，通常以每TEU固定金额计算。,应付,"55729, SEA01001","BAF (Bunker Adjustment Factor), an adjustment fee based on fuel price changes, usually calculated as a fixed amount per TEU."
FC0007,燃油附加费,,TFSC,CNY,应税,专票/普票,跨境运输费用,,船公司,,,因燃油价格波动而收取的附加费用，通常由船公司根据燃油市场价格变化进行调整，以弥补燃油成本上涨带来的损失。在海运整柜出口中，这是最常见的附加费之一。,应付,SEAN0923,"Fuel surcharge imposed due to fuel price fluctuations, typically adjusted by shipping lines based on fuel market price changes to offset losses from rising fuel costs."
FC0008,燃油浮动调整附加费,,GBF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,燃油浮动调整附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"燃油浮动调整附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0009,联运燃油附加费,,IMS,CNY,应税,专票/普票,跨境运输费用,,船公司,,,联运燃油附加费，因燃油价格波动而收取的附加费用，通常由船公司根据燃油市场价格变化进行调整，以弥补燃油成本上涨带来的损失。在海运整柜出口中，这是最常见的附加费之一。,应付,,"联运燃油附加费, Fuel surcharge imposed due to fuel price fluctuations, typically adjusted by shipping lines based on fuel market price changes to offset losses from rising fuel costs."
FC0010,苏伊士运河附加费,,SCS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,苏伊士运河附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"苏伊士运河附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
