服务段,服务,服务描述
启运地服务,拖车,负责集装箱在陆地的短途运输，连接港口码头与货主工厂/仓库，是多式联运的重要环节。执行人：拖车公司/运输公司。
启运地服务,报关,向海关申报出口货物信息，办理通关手续。包括单证审核、税费计算、与海关沟通。执行人：报关行/报关员。
启运地服务,仓储,提供货物临时存储、分拣、配送等仓储服务。执行人：仓储公司/第三方物流公司。
启运地服务,驳船,通过内河水路运输连接内陆与海港，适用于长江等内河航道。执行人：驳船公司/内河运输公司。
启运地服务,国内铁路,利用铁路网络进行货物运输，连接内陆城市与沿海港口。执行人：铁路公司/铁路物流公司。
启运地服务,保险,为货物运输过程提供风险保障，承保运输途中的各类损失。执行人：保险公司/保险代理。
启运地服务,内装,在发货人工厂或指定地点将货物装入集装箱。执行人：装箱队/货代公司。
干线服务,舱单,向海关申报船舶载运货物的舱单信息，是海运必备程序。执行人：船公司/船代。
干线服务,HBL,货代签发给货主的运输单据，是货代与货主之间的运输合同。执行人：货代公司。
干线服务,MBL,船公司签发的主提单，是承运人与托运人的运输合同。执行人：船公司/船代。
干线服务,订舱,向船公司预订舱位和集装箱，确保货物能够按期装船。执行人：货代公司。
目的港服务,换单,在目的港用海运提单换取提货单，获得提取货物的权利。执行人：船代/目的港代理。
目的港服务,清关,在目的港向当地海关申报进口货物，办理清关手续。执行人：目的港代理/清关行。
目的港服务,派送,将货物从港口运输到收货人指定地点。执行人：拖车公司/派送公司。
目的港服务,目的港仓储,在目的港提供货物仓储、分拨等服务。执行人：目的港仓储公司。
增值服务,托盘,提供托盘包装服务，便于货物装卸和堆垛。执行人：包装公司/货代。
增值服务,加固,对货物进行加固包装，防止运输过程中损坏。执行人：包装公司/专业加固队。
增值服务,贴唛,在货物包装上贴附运输标识和收货人信息。执行人：仓储公司/包装工。
增值服务,熏蒸,对木质包装或货物进行除虫杀菌处理，符合进口国植检要求。执行人：熏蒸公司。
增值服务,质量控制,对货物质量、包装等进行检验监督。执行人：检验公司/质检机构。
增值服务,设备保护,为运输设备提供防护和维护服务。执行人：设备维护公司。
